Id.,Proyecto,Informador,Asignada a,Prioridad,Gravedad,Reproducibilidad,Versión del producto,Categoría,Fecha de envío,SO,Versión de SO,Plataforma,Visibilidad,Actualizada,Resumen,Estado,Resolución,Resuelta en versión
0042693,PFT-DZ-GRUPO06-2025,equipo qa,qa.lead,alta,mayor,siempre,,General,2025-11-08,,,,público,2025-11-29,Módulo Perfiles - Registro con datos inválidos permite crear perfil no válido,cerrada,corregida,
0042694,PFT-DZ-GRUPO06-2025,qa.analyst,qa.lead,alta,mayor,a veces,,General,2025-11-08,,,,público,2025-11-29,Módulo Perfiles - Sistema permite registrar perfil con campos obligatorios faltantes,cerrada,corregida,
0043292,PFT-DZ-GRUPO06-2025,qa.analyst,qa.lead,normal,mayor,siempre,,General,2025-11-28,,,,público,2025-11-29,Listado Perfiles – Filtro por Estado no aplica correctamente,cerrada,corregida,
0042695,PFT-DZ-GRUPO06-2025,qa.analyst,qa.lead,normal,mayor,a veces,,General,2025-11-08,,,,público,2025-11-29,Módulo Funcionalidades - Sistema permite registrar funcionalidad con datos inválidos,cerrada,corregida,
0042669,PFT-DZ-GRUPO06-2025,qa.analyst,qa.lead,alta,mayor,siempre,,General,2025-11-06,,,,público,2025-11-18,Módulo Espacio - Generación de Reporte: Sistema no genera reportes de reservas en espacios,cerrada,corregida,
0042668,PFT-DZ-GRUPO06-2025,qa.analyst,qa.lead,alta,bloqueo,siempre,,General,2025-11-06,,,,público,2025-11-18,Módulo Espacio - Registro de Reserva: Bloqueo en válidaciones de reservas consecutivas,cerrada,corregida,
0042667,PFT-DZ-GRUPO06-2025,qa.analyst,qa.lead,alta,bloqueo,siempre,,General,2025-11-06,,,,público,2025-11-18,Módulo Espacio - Registro de Reserva: Bloqueo en válidaciones de solapamiento en nuevas reservas,cerrada,corregida,
0042666,PFT-DZ-GRUPO06-2025,qa.analyst,qa.lead,urgente,mayor,siempre,,General,2025-11-06,,,,público,2025-11-18,Módulo Espacio - Registro de Reserva: Sistema no permite registro de nuevas reservas,cerrada,corregida,
0042664,PFT-DZ-GRUPO06-2025,qa.analyst,qa.lead,normal,menor,siempre,,General,2025-11-06,,,,público,2025-11-18,Módulo Espacio - Baja de Espacios: Sistema permite reactivar espacios ya activos.,cerrada,corregida,
0042663,PFT-DZ-GRUPO06-2025,qa.analyst,qa.lead,urgente,bloqueo,siempre,,General,2025-11-06,,,,público,2025-11-18,Módulo Espacio - Restricciones: No es posible validar restricciones de estado ya que no se puede registrar nuevas reservas.,cerrada,corregida,
0042662,PFT-DZ-GRUPO06-2025,qa.analyst,qa.lead,alta,mayor,siempre,,General,2025-11-06,,,,público,2025-11-18,Módulo Espacio - Modificación de Espacio: Sistema permite modificación de datos de espacio con datos inválidos.,cerrada,corregida,
0042661,PFT-DZ-GRUPO06-2025,qa.analyst,qa.lead,urgente,mayor,siempre,,General,2025-11-06,,,,público,2025-11-18,Módulo Espacio- Registro de Espacio: Sistema permite registro de nuevo espacio con datos inválidos.,cerrada,corregida,
0042660,PFT-DZ-GRUPO06-2025,qa.analyst,qa.lead,urgente,mayor,siempre,,General,2025-11-06,,,,público,2025-11-18,Módulo Actividad - Inscripciones: Sistema permite inscripciones a actividades canceladas.,cerrada,corregida,
0042658,PFT-DZ-GRUPO06-2025,qa.analyst,qa.lead,urgente,mayor,siempre,,General,2025-11-06,,,,público,2025-11-18,Módulo Actividad - Inscripciones: Sistema permite inscripciones a actividades finalizadas.,cerrada,corregida,
0042657,PFT-DZ-GRUPO06-2025,qa.analyst,qa.lead,normal,menor,siempre,,General,2025-11-06,,,,público,2025-11-18,Módulo Actividad - Baja de Actividades: Sistema permite eliminar actividades ya inactivas.,cerrada,corregida,
0042656,PFT-DZ-GRUPO06-2025,qa.analyst,qa.lead,alta,mayor,siempre,,General,2025-11-06,,,,público,2025-11-18,Módulo Actividad - Listado de Actividades: Sistema no carga/despliega el listado de actividades con filtros aplicados.,cerrada,corregida,
0042655,PFT-DZ-GRUPO06-2025,qa.analyst,qa.lead,alta,mayor,siempre,,General,2025-11-06,,,,público,2025-11-18,Módulo Actividad - Listado de Actividades: Sistema no carga/despliega el listado de actividades disponibles.,cerrada,corregida,
0042654,PFT-DZ-GRUPO06-2025,qa.analyst,qa.lead,urgente,mayor,siempre,,General,2025-11-06,,,,público,2025-11-18,Módulo Actividad - Reservas Consecutivas: Sistema no permite registro de nueva actividad que no tiene solapamiento con otra.,cerrada,corregida,
0042659,PFT-DZ-GRUPO06-2025,qa.analyst,qa.lead,urgente,mayor,siempre,,General,2025-11-06,,,,público,2025-11-06,Módulo Actividad - Inscripciones: Sistema permite inscripciones a actividades con período de inscripción aún no iniciado.,asignada,abierta,
0042654,PFT-DZ-GRUPO06-2025,qa.analyst,qa.lead,urgente,mayor,siempre,,General,2025-11-06,,,,público,2025-11-18,Módulo Actividad - Reservas Consecutivas: Sistema no permite registro de nueva actividad que no tiene solapamiento con otra.,cerrada,corregida,
0042653,PFT-DZ-GRUPO06-2025,qa.analyst,qa.lead,alta,mayor,siempre,,General,2025-11-06,,,,público,2025-11-12,Módulo Usuario - Vulnerabilidad de seguridad: Login no bloquea usuario tras 5 intentos erróneos.,cerrada,corregida,
0042659,PFT-DZ-GRUPO06-2025,qa.analyst,qa.lead,urgente,mayor,siempre,,General,2025-11-06,,,,público,2025-11-06,Módulo Actividad - Inscripciones: Sistema permite inscripciones a actividades con período de inscripción aún no iniciado.,asignada,abierta,
0043293,PFT-DZ-GRUPO06-2025,qa.analyst,qa.lead,alta,mayor,siempre,,General,2025-11-28,,,,público,2025-11-29,Módulo Usuario - Registro de Socio: Sistema permite registrar socio con Subcomisión vacía.,cerrada,corregida,
0043294,PFT-DZ-GRUPO06-2025,qa.analyst,qa.lead,alta,mayor,siempre,,General,2025-11-28,,,,público,2025-11-29,Módulo Actividad - Registro de Actividad: Interfaz permite seleccionar un espacio y fecha que presenta solapamiento con otra actividad.,cerrada,corregida,
