Suite de Pruebas,ID Caso,Descripcion Caso,Prioridad,v1 Resultado,v1 Asignado a,v1 Fecha,v1 Testeado por,v1 Notas,v1 Duracion (min),v2 Resultado,v2 Asignado a,v2 Fecha,v2 Testeado por,v2 Notas,v2 Duracion (min),Ultima Build v2.0
Gestión de Usuarios - Registro de Usuario,PFTDZGR06-216,Registrar usuario administrador exitosamente,Alta,Pasado [v1],equipo qa,2025-11-05 00:27:27,equipo qa,,2,Pasado [v2],equipo qa,2025-11-12 00:07:59,equipo qa,,2,Pasado [v2]
Gestión de Usuarios - Registro de Usuario,PFTDZGR06-217,Registrar usuario socio exitosamente,Alta,Pasado [v1],equipo qa,2025-11-05 00:31:19,equipo qa,,2,Pasado [v2],equipo qa,2025-11-12 00:11:03,equipo qa,,2,Pasado [v2]
Gestión de Usuarios - Registro de Usuario,PFTDZGR06-218,Registrar usuario No Socio exitosamente,Alta,Pasado [v1],equipo qa,2025-11-05 00:33:49,equipo qa,,2,Pasado [v2],equipo qa,2025-11-12 00:14:24,equipo qa,,2,Pasado [v2]
Gestión de Usuarios - Registro de Usuario,PFTDZGR06-219,Registrar usuario con datos inválidos,Alta,Pasado [v1],equipo qa,2025-11-05 00:35:41,equipo qa,,4,Pasado [v2],equipo qa,2025-11-12 00:15:23,equipo qa,,2,Pasado [v2]
Gestión de Usuarios - Registro de Usuario,PFTDZGR06-220,Registrar usuario con campos obligatorios faltantes,Alta,Pasado [v1],equipo qa,2025-11-05 00:37:11,equipo qa,,4,Pasado [v2],equipo qa,2025-11-12 00:16:58,equipo qa,,2,Pasado [v2]
Gestión de Usuarios - Registro de Usuario,PFTDZGR06-221,Registro de Usuario Duplicado,Alta,Pasado [v1],equipo qa,2025-11-05 00:38:09,equipo qa,,2,Pasado [v2],equipo qa,2025-11-12 00:19:31,equipo qa,,2,Pasado [v2]
Gestión de Usuarios - Listado de Usuarios,PFTDZGR06-245,Acceso a listado de usuarios exitosamente,Alta,Pasado [v1],equipo qa,2025-11-05 00:39:48,equipo qa,,1,Pasado [v2],equipo qa,2025-11-12 00:20:23,equipo qa,,1,Pasado [v2]
Gestión de Usuarios - Listado de Usuarios,PFTDZGR06-246,Acceso a listado de usuarios por Usuario Admin,Alta,Pasado [v1],equipo qa,2025-11-05 00:40:38,equipo qa,,1,Pasado [v2],equipo qa,2025-11-12 00:21:23,equipo qa,,1,Pasado [v2]
Gestión de Usuarios - Listado de Usuarios,PFTDZGR06-247,Acceso a listado de usuarios por Usuario Socio/No Socio,Alta,Pasado [v1],equipo qa,2025-11-05 00:43:16,equipo qa,,2,Pasado [v2],equipo qa,2025-11-12 00:22:39,equipo qa,,1,Pasado [v2]
Gestión de Usuarios - Listado de Usuarios,PFTDZGR06-248,Filtrado del listado de usuarios,Alta,Pasado [v1],equipo qa,2025-11-05 00:46:08,equipo qa,,2,Pasado [v2],equipo qa,2025-11-12 00:31:41,equipo qa,,2,Pasado [v2]
Gestión de Usuarios - Listado de Usuarios,PFTDZGR06-249,Acceder a listado sin usuarios registrados,Alta,Pasado [v1],equipo qa,2025-11-05 00:46:54,equipo qa,,1,Pasado [v2],equipo qa,2025-11-12 00:32:52,equipo qa,,1,Pasado [v2]
Gestión de Usuarios - Listado de Usuarios,PFTDZGR06-250,Acceder a listado sin token de autorización,Alta,Pasado [v1],equipo qa,2025-11-05 00:47:31,equipo qa,,1,Pasado [v2],equipo qa,2025-11-12 00:34:00,equipo qa,,1,Pasado [v2]
Gestión de Usuarios - Modificación de Usuario,PFTDZGR06-251,Modificar datos de usuario por administrador exitosamente,Alta,Pasado [v1],equipo qa,2025-11-05 00:55:31,equipo qa,,5,Pasado [v2],equipo qa,2025-11-12 00:44:44,equipo qa,,3,Pasado [v2]
Gestión de Usuarios - Modificación de Usuario,PFTDZGR06-252,Modificar de No Socio a Socio,Alta,Pasado [v1],equipo qa,2025-11-05 00:56:47,equipo qa,,2,Pasado [v2],equipo qa,2025-11-12 00:45:36,equipo qa,,2,Pasado [v2]
Gestión de Usuarios - Modificación de Usuario,PFTDZGR06-253,Modificar de Socio a No Socio,Alta,Pasado [v1],equipo qa,2025-11-05 00:52:24,equipo qa,,5,Pasado [v2],equipo qa,2025-11-12 00:39:55,equipo qa,,2,Pasado [v2]
Gestión de Usuarios - Modificación de Usuario,PFTDZGR06-254,Modificación con datos obligatorios faltantes,Alta,Pasado [v1],equipo qa,2025-11-05 00:58:09,equipo qa,,2,Pasado [v2],equipo qa,2025-11-12 00:46:58,equipo qa,,2,Pasado [v2]
Gestión de Usuarios - Modificación de Usuario,PFTDZGR06-255,Modificación con datos inválidos,Alta,Pasado [v1],equipo qa,2025-11-05 00:59:42,equipo qa,,2,Pasado [v2],equipo qa,2025-11-12 00:48:58,equipo qa,,2,Pasado [v2]
Gestión de Usuarios - Modificación de Usuario,PFTDZGR06-256,Modificación por parte de un usuario no autorizado,Alta,Pasado [v1],equipo qa,2025-11-05 01:00:34,equipo qa,,1,Pasado [v2],equipo qa,2025-11-12 00:50:02,equipo qa,,1,Pasado [v2]
Gestión de Usuarios - Modificación de Usuario,PFTDZGR06-257,Modificación con datos duplicados,Alta,Pasado [v1],equipo qa,2025-11-05 01:04:48,equipo qa,,2,Pasado [v2],equipo qa,2025-11-12 00:51:20,equipo qa,,2,Pasado [v2]
Gestión de Usuarios - Modificación de Usuario,PFTDZGR06-272,Modificación de datos privados,Alta,Pasado [v1],equipo qa,2025-11-05 01:05:20,equipo qa,,1,Pasado [v2],equipo qa,2025-11-12 00:52:08,equipo qa,,1,Pasado [v2]
Gestión de Usuarios - Baja - Reactivación de Usuario,PFTDZGR06-258,Baja exitosa de usuario,Alta,Pasado [v1],equipo qa,2025-11-05 01:16:45,equipo qa,,1,Pasado [v2],equipo qa,2025-11-12 00:54:41,equipo qa,,1,Pasado [v2]
Gestión de Usuarios - Baja - Reactivación de Usuario,PFTDZGR06-259,Baja de usuario ya inactivo,Media,Pasado [v1],equipo qa,2025-11-05 01:17:35,equipo qa,,1,Pasado [v2],equipo qa,2025-11-12 00:57:41,equipo qa,,1,Pasado [v2]
Gestión de Usuarios - Baja - Reactivación de Usuario,PFTDZGR06-260,Baja con usuario no existente,Alta,Pasado [v1],equipo qa,2025-11-05 01:18:50,equipo qa,,1,Pasado [v2],equipo qa,2025-11-12 00:58:29,equipo qa,,1,Pasado [v2]
Gestión de Usuarios - Baja - Reactivación de Usuario,PFTDZGR06-261,Baja por usuario no autorizado,Alta,Pasado [v1],equipo qa,2025-11-05 01:19:54,equipo qa,,1,Pasado [v2],equipo qa,2025-11-12 00:59:16,equipo qa,,1,Pasado [v2]
Gestión de Usuarios - Baja - Reactivación de Usuario,PFTDZGR06-262,Reactivación exitosa de usuario,Alta,Pasado [v1],equipo qa,2025-11-05 01:22:17,equipo qa,,1,Pasado [v2],equipo qa,2025-11-12 01:08:25,equipo qa,,1,Pasado [v2]
Gestión de Usuarios - Baja - Reactivación de Usuario,PFTDZGR06-263,Reactivación de usuario ya activo,Media,Pasado [v1],equipo qa,2025-11-05 01:23:10,equipo qa,,1,Pasado [v2],equipo qa,2025-11-12 01:12:45,equipo qa,,1,Pasado [v2]
Gestión de Usuarios - Baja - Reactivación de Usuario,PFTDZGR06-264,Reactivación de usuario inexistente,Alta,Pasado [v1],equipo qa,2025-11-05 01:23:52,equipo qa,,1,Pasado [v2],equipo qa,2025-11-12 01:14:19,equipo qa,,1,Pasado [v2]
Gestión de Usuarios - Baja - Reactivación de Usuario,PFTDZGR06-265,Reactivación por usuario no autorizado,Alta,Pasado [v1],equipo qa,2025-11-05 01:25:11,equipo qa,,1,Pasado [v2],equipo qa,2025-11-12 01:15:07,equipo qa,,1,Pasado [v2]
Gestión de Usuarios - Login de Usuario,PFTDZGR06-266,Inicio de sesión exitoso,Alta,Pasado [v1],equipo qa,2025-11-05 01:30:35,equipo qa,,1,Pasado [v2],equipo qa,2025-11-12 01:17:33,equipo qa,,1,Pasado [v2]
Gestión de Usuarios - Login de Usuario,PFTDZGR06-267,Login con credenciales inválidas,Alta,Pasado [v1],equipo qa,2025-11-05 01:32:06,equipo qa,,1,Pasado [v2],equipo qa,2025-11-12 01:19:38,equipo qa,,1,Pasado [v2]
Gestión de Usuarios - Login de Usuario,PFTDZGR06-268,Login de usuario inactivo,Alta,Pasado [v1],equipo qa,2025-11-05 01:33:26,equipo qa,,1,Pasado [v2],equipo qa,2025-11-12 01:20:27,equipo qa,,1,Pasado [v2]
Gestión de Usuarios - Login de Usuario,PFTDZGR06-270,Login con campos obligatorios faltantes,Alta,Pasado [v1],equipo qa,2025-11-05 01:34:10,equipo qa,,1,Pasado [v2],equipo qa,2025-11-12 01:21:01,equipo qa,,1,Pasado [v2]
Gestión de Usuarios - Login de Usuario,PFTDZGR06-271,Ataque de fuerza bruta o múltiples intentos fallidos,Alta,Fallado [v1],equipo qa,2025-11-05 01:36:09,equipo qa,,2,Pasado [v2],equipo qa,2025-11-12 01:22:17,equipo qa,,5,Pasado [v2]
Gestión de Usuarios - Login de Usuario,PFTDZGR06-461,Login de usuario Sin Validar,Alta,Pasado [v1],equipo qa,2025-11-05 01:29:56,equipo qa,,2,Pasado [v2],equipo qa,2025-11-12 01:16:52,equipo qa,,2,Pasado [v2]
Gestión de Usuarios - Modificación de datos propios del Usuario,PFTDZGR06-273,Modificación de datos personales exitosa,Alta,Pasado [v1],equipo qa,2025-11-05 01:38:30,equipo qa,,3,Pasado [v2],equipo qa,2025-11-12 01:23:34,equipo qa,,2,Pasado [v2]
Gestión de Usuarios - Modificación de datos propios del Usuario,PFTDZGR06-274,Modificación con datos inválidos,Alta,Pasado [v1],equipo qa,2025-11-05 01:40:52,equipo qa,,5,Pasado [v2],equipo qa,2025-11-12 01:26:40,equipo qa,,2,Pasado [v2]
Gestión de Usuarios - Modificación de datos propios del Usuario,PFTDZGR06-275,Modificación con campos obligatorios faltantes,Alta,Pasado [v1],equipo qa,2025-11-05 01:41:42,equipo qa,,2,Pasado [v2],equipo qa,2025-11-12 01:27:32,equipo qa,,2,Pasado [v2]
Gestión de Usuarios - Modificación de datos propios del Usuario,PFTDZGR06-276,Modificación con datos duplicados,Alta,Pasado [v1],equipo qa,2025-11-05 01:45:21,equipo qa,,2,Pasado [v2],equipo qa,2025-11-12 01:28:50,equipo qa,,2,Pasado [v2]
Gestión de Usuarios - Modificación de datos propios del Usuario,PFTDZGR06-277,Modificación sin token o con token inválido,Alta,Pasado [v1],equipo qa,2025-11-05 01:47:02,equipo qa,,1,Pasado [v2],equipo qa,2025-11-12 01:29:55,equipo qa,,1,Pasado [v2]
Gestión de Auditoría - Reportes de Auditorías,PFTDZGR06-278,Consulta de auditoría exitosa,Alta,Pasado [v1],equipo qa,2025-11-08 03:09:37,equipo qa,,2,Pasado [v2],equipo qa,2025-11-21 00:08:28,equipo qa,,2,Pasado [v2]
Gestión de Auditoría - Reportes de Auditorías,PFTDZGR06-279,Consulta sin filtros,Alta,Pasado [v1],equipo qa,2025-11-08 03:09:58,equipo qa,,,Pasado [v2],equipo qa,2025-11-21 00:08:36,equipo qa,,2,Pasado [v2]
Gestión de Auditoría - Reportes de Auditorías,PFTDZGR06-280,Consulta con filtros inválidos,Alta,Pasado [v1],equipo qa,2025-11-08 03:10:08,equipo qa,,2,Pasado [v2],equipo qa,2025-11-21 00:08:44,equipo qa,,1,Pasado [v2]
Gestión de Auditoría - Reportes de Auditorías,PFTDZGR06-281,Acceso sin token o token inválido,Alta,Pasado [v1],equipo qa,2025-11-08 03:10:22,equipo qa,,2,Pasado [v2],equipo qa,2025-11-21 00:08:54,equipo qa,,2,Pasado [v2]
