Suite de Pruebas,ID Caso,Descripcion Caso,Prioridad,v1 Resultado,v1 Asignado a,v1 Fecha,v1 Testeado por,v1 Notas,v1 Duracion (min),v2 Resultado,v2 Asignado a,v2 Fecha,v2 Testeado por,v2 Notas,v2 Duracion (min)
Gestión de Usuarios - Registro de Usuario,PFTDZGR06-55,000_Registro de Usuario con datos válidos,Alta,Pasado [v1],equipo qa,2025-11-26 23:33:45,equipo qa,,2,Pasado [v2],equipo qa,2025-11-29 03:25:45,equipo qa,,2
Gestión de Usuarios - Registro de Usuario,PFTDZGR06-41,001_Registro de usuario con nombre inválido,Alta,Pasado [v1],equipo qa,2025-11-26 23:35:19,equipo qa,,1,Pasado [v2],equipo qa,2025-11-29 03:33:21,equipo qa,,2
Gestión de Usuarios - Registro de Usuario,PFTDZGR06-42,002_Registro de usuario con nombre vacío,Alta,Pasado [v1],equipo qa,2025-11-26 23:37:06,equipo qa,,1,Pasado [v2],equipo qa,2025-11-29 03:33:31,equipo qa,,1
Gestión de Usuarios - Registro de Usuario,PFTDZGR06-44,003_Registro de usuario con Apellido inválido,Media,Pasado [v1],equipo qa,2025-11-26 23:38:48,equipo qa,,1,Pasado [v2],equipo qa,2025-11-29 03:33:44,equipo qa,,2
Gestión de Usuarios - Registro de Usuario,PFTDZGR06-43,004_Registro de usuario con Apellido vacío,Alta,Pasado [v1],equipo qa,2025-11-26 23:39:51,equipo qa,,1,Pasado [v2],equipo qa,2025-11-29 03:33:55,equipo qa,,1
Gestión de Usuarios - Registro de Usuario,PFTDZGR06-45,005_Registro de usuario con Tipo Documento vacío,Alta,Pasado [v1],equipo qa,2025-11-26 23:40:16,equipo qa,,1,Pasado [v2],equipo qa,2025-11-29 03:34:13,equipo qa,,1
Gestión de Usuarios - Registro de Usuario,PFTDZGR06-132,005.2_ Registro de usuario con Tipo de Documento inválido,Alta,Pasado [v1],equipo qa,2025-11-26 23:41:06,equipo qa,,1,Pasado [v2],equipo qa,2025-11-29 03:34:39,equipo qa,,1
Gestión de Usuarios - Registro de Usuario,PFTDZGR06-46,006_Registro de usuario con Núm de CI vacío,Alta,Pasado [v1],equipo qa,2025-11-26 23:41:28,equipo qa,,1,Pasado [v2],equipo qa,2025-11-29 03:34:58,equipo qa,,1
Gestión de Usuarios - Registro de Usuario,PFTDZGR06-47,007_Registro de usuario con Núm de CI inválido,Alta,Pasado [v1],equipo qa,2025-11-26 23:49:05,equipo qa,"El caso se toma como pasado, ya que el requerimiento funcional se cumple, que es no permitir el registro. Sin embargo se debe mejorar la validación en la interfaz gráfica para evitar que se envien datos inválidos.",2,Pasado [v2],equipo qa,2025-11-29 04:47:37,equipo qa,,1
Gestión de Usuarios - Registro de Usuario,PFTDZGR06-133,008.1_ Registro de usuario con Fecha de Nac futuro,Alta,Pasado [v1],equipo qa,2025-11-26 23:49:40,equipo qa,,1,Pasado [v2],equipo qa,2025-11-29 03:43:48,equipo qa,,1
Gestión de Usuarios - Registro de Usuario,PFTDZGR06-134,008.2_ Registro de usuario con Fecha de Nac vacío,Alta,Pasado [v1],equipo qa,2025-11-26 23:50:10,equipo qa,,1,Pasado [v2],equipo qa,2025-11-29 03:44:01,equipo qa,,1
Gestión de Usuarios - Registro de Usuario,PFTDZGR06-137,008.3_ Registro de usuario con Fecha de Nac menor a 18 años,Alta,Pasado [v1],equipo qa,2025-11-27 00:06:55,equipo qa,,1,Pasado [v2],equipo qa,2025-11-29 03:46:02,equipo qa,,1
Gestión de Usuarios - Registro de Usuario,PFTDZGR06-144,012_Registro de usuario con Domicilio Inválido,Alta,Pasado [v1],equipo qa,2025-11-28 02:57:47,equipo qa,,1,Pasado [v2],equipo qa,2025-11-29 03:47:22,equipo qa,,1
Gestión de Usuarios - Registro de Usuario,PFTDZGR06-143,013_Registro de usuario con Domicilio vacío,Alta,Pasado [v1],equipo qa,2025-11-28 02:58:08,equipo qa,,1,Pasado [v2],equipo qa,2025-11-29 03:47:33,equipo qa,,1
Gestión de Usuarios - Registro de Usuario,PFTDZGR06-54,014_Registro de usuario con Apartamento vacío,Alta,Pasado [v1],equipo qa,2025-11-28 03:00:42,equipo qa,,2,Pasado [v2],equipo qa,2025-11-29 03:47:46,equipo qa,,1
Gestión de Usuarios - Registro de Usuario,PFTDZGR06-60,019_Registro de usuario con Teléfono vacío,Alta,Pasado [v1],equipo qa,2025-11-28 03:01:35,equipo qa,,1,Pasado [v2],equipo qa,2025-11-29 03:48:00,equipo qa,,1
