Suite de Pruebas,Caso de Prueba,Build Versión 3.1.0,Fecha,Notas,Duración de la ejecución (min),[Última Build] Versión 3.1.0,Exec Notes for Latest (created) Build
Módulo Usuario/Registro Usuario,1:Registro Exitoso de Usuario,Pasado [v1],2023-12-13 12:30:09,,3,Pasado [v1],
Módulo Usuario/Registro Usuario,8:Registro de usuario sin completar campo obligatorio Teléfono de Contacto,Pasado [v1],2023-12-13 12:32:54,,2,Pasado [v1],
Módulo Usuario/Registro Usuario,34:Registro inválido de Usuario,Pasado [v1],2023-12-13 12:33:04,,3,Pasado [v1],
Módulo Usuario/Listado Usuario,36:Visualización del listado de usuarios por el administrador,Pasado [v1],2023-12-13 12:46:49,,5,Pasado [v1],
Módulo Usuario/Listado Usuario,37:Visualización del listado de usuarios por el auxiliar administrativo,Pasado [v1],2023-12-13 12:47:07,,2,Pasado [v1],
Módulo Usuario/Listado Usuario,38:Visualización del listado de usuarios por otros perfiles,Pasado [v1],2023-12-13 12:47:21,,2,Pasado [v1],
Módulo Usuario/Listado Usuario,40:Filtrar listado,Pasado [v1],2023-12-13 12:47:55,,3,Pasado [v1],
Módulo Usuario/Listado Usuario,46:Filtro de listado incompatible,Pasado [v1],2023-12-13 12:48:08,,2,Pasado [v1],
Módulo Usuario/Listado Usuario,49:Descargar listado/reporte de Usuarios,Pasado [v1],2023-12-13 13:08:25,,4,Pasado [v1],
Módulo Usuario/Modificar Usuario,67:Modificación de Datos de Usuario por Administrador,Pasado [v1],2023-12-13 12:48:38,,2,Pasado [v1],
Módulo Usuario/Modificar Usuario,68:Modificación de Datos de Usuario por Auxiliar Administrativo,Pasado [v1],2023-12-13 12:48:45,,2,Pasado [v1],
Módulo Usuario/Modificar Usuario,69:Modificación de Datos de Usuario por otro usuario,Pasado [v1],2023-12-13 12:49:35,,3,Pasado [v1],
Módulo Usuario/Modificar Usuario,70:Acceso al Formulario de Modificación de Usuario,Pasado [v1],2023-12-13 12:51:07,,3,Pasado [v1],
Módulo Usuario/Modificar Usuario,71:Modificación de datos de Usuario,Pasado [v1],2023-12-13 12:51:19,,3,Pasado [v1],
Módulo Usuario/Modificar Usuario,74:Modificación de Contraseña por el Usuario Administrador,Pasado [v1],2023-12-13 12:56:57,,7,Pasado [v1],
Módulo Usuario/Modificar Usuario,75:Modificación de Nombre de Usuario por el Usuario Administrador,Pasado [v1],2023-12-13 12:57:09,,2,Pasado [v1],
Módulo Usuario/Modificar Usuario,76:Modificación de Contraseña por el Usuario Auxiliar Administrativo,Pasado [v1],2023-12-13 12:57:20,,2,Pasado [v1],
Módulo Usuario/Modificar Usuario,77:Modificación de Nombre de Usuario por el Usuario Auxiliar Administrativo,Pasado [v1],2023-12-13 12:57:33,,2,Pasado [v1],
Módulo Usuario/Modificar Usuario,78:Solicitud de confirmación de la modificación de usuario,Pasado [v1],2023-12-13 12:57:44,,2,Pasado [v1],
Módulo Usuario/Modificar Usuario,79:Cancelar modificación de usuario,Pasado [v1],2023-12-13 12:57:58,,2,Pasado [v1],
Módulo Usuario/Modificar Usuario,136:Ingresos de datos inválidos para la modificación de datos de Usuario,Pasado [v1],2023-12-13 12:51:51,,4,Pasado [v1],
Módulo Usuario/Baja Usuario,81:Eliminación(baja lógica) de Usuario por un Usuario Administrador,Pasado [v1],2023-12-13 13:25:06,,,Pasado [v1],
Módulo Usuario/Baja Usuario,82:Eliminación(baja lógica) de Usuario por un Usuario Auxiliar Administrativo,Pasado [v1],2023-12-13 13:25:51,,4,Pasado [v1],
Módulo Usuario/Baja Usuario,83:Eliminación(baja lógica) de Usuario por un usuario no Administrativo,Pasado [v1],2023-12-13 13:25:14,,1,Pasado [v1],
Módulo Usuario/Baja Usuario,84:Solicitud de confirmación de eliminación de usuario,Pasado [v1],2023-12-13 13:25:30,,1,Pasado [v1],
Módulo Usuario/Baja Usuario,85:Actualización del Estado de Usuario a "Eliminado",Pasado [v1],2023-12-13 13:25:38,,1,Pasado [v1],
Módulo Usuario/Baja Usuario,86:Cancelar eliminación de usuario,Pasado [v1],2023-12-13 13:26:31,,4,Pasado [v1],
Módulo Usuario/Baja Usuario,87:Restricción de Acceso para Usuarios Eliminados,Pasado [v1],2023-12-13 13:26:50,,3,Pasado [v1],
Módulo Usuario/Baja Usuario,88:Re-Activación de usuario por un Administrador,Pasado [v1],2023-12-13 13:27:00,,1,Pasado [v1],
Módulo Usuario/Baja Usuario,89:Re-Activación de usuario por un Auxiliar Administrativo,Pasado [v1],2023-12-13 13:27:16,,2,Pasado [v1],
Módulo Usuario/Modificar datos propios de Usuario,90:Modificación de Datos propios por Usuario Auxiliar Administrativo,Pasado [v1],2023-12-13 12:58:08,,1,Pasado [v1],
Módulo Usuario/Modificar datos propios de Usuario,91:Modificación de Datos Propios por Usuario Administrador,Pasado [v1],2023-12-13 12:58:17,,3,Pasado [v1],
Módulo Usuario/Modificar datos propios de Usuario,92:Modificación de Datos Propios por Usuario Ingeniero Biomédico,Pasado [v1],2023-12-13 12:58:27,,2,Pasado [v1],
Módulo Usuario/Modificar datos propios de Usuario,93:Modificación de Datos Propios por Usuario Tecnólogo,Pasado [v1],2023-12-13 12:58:36,,3,Pasado [v1],
Módulo Usuario/Modificar datos propios de Usuario,94:Modificación de Datos Propios de Usuario por Técnico,Pasado [v1],2023-12-13 12:58:44,,2,Pasado [v1],
Módulo Usuario/Modificar datos propios de Usuario,95:Solicitud de confirmación de la modificación de datos propios,Pasado [v1],2023-12-13 12:58:52,,2,Pasado [v1],
Módulo Usuario/Modificar datos propios de Usuario,96:Modificación de datos propios,Pasado [v1],2023-12-13 12:59:07,,,Pasado [v1],
Módulo Usuario/Modificar datos propios de Usuario,97:Ingreso de datos inválidos para la modificación,Pasado [v1],2023-12-13 12:59:22,,3,Pasado [v1],
Módulo Usuario/Modificar datos propios de Usuario,370:Cancelar modificación de datos de usuario,Pasado [v1],2023-12-13 12:59:34,,,Pasado [v1],
Módulo Usuario/Login de usuario,137:Login exitoso,Pasado [v1],2023-12-12 19:48:10,,1,Pasado [v1],
Módulo Usuario/Login de usuario,138:Login Incorrecto,Pasado [v1],2023-12-12 19:48:40,,1,Pasado [v1],
Módulo Usuario/Login de usuario,142:Login de un usuario eliminado,Pasado [v1],2023-12-12 19:52:15,,2,Pasado [v1],
Módulo Usuario/Login de usuario,143:Login de un usuario sin válidar,Pasado [v1],2023-12-12 19:52:32,,1,Pasado [v1],
Módulo Intervenciones/Registro de Intervención,144:Registro de una intervención por parte de un administrador,Pasado [v1],2023-12-12 19:52:46,,2,Pasado [v1],
Módulo Intervenciones/Registro de Intervención,145:Registro de una intervención por parte de un auxiliar administrativo,Pasado [v1],2023-12-12 19:53:12,,2,Pasado [v1],
Módulo Intervenciones/Registro de Intervención,146:Registro de una intervención por parte de un Ingeniero Biomédico,Pasado [v1],2023-12-12 19:53:19,,2,Pasado [v1],
Módulo Intervenciones/Registro de Intervención,147:Registro de una intervención por parte de un Tecnólogo,Pasado [v1],2023-12-12 19:53:27,,2,Pasado [v1],
Módulo Intervenciones/Registro de Intervención,148:Registro de una intervención por parte de un técnico,Pasado [v1],2023-12-12 19:53:39,,2,Pasado [v1],
Módulo Intervenciones/Registro de Intervención,149:Registro de intervención exitosa,Pasado [v1],2023-12-12 19:53:49,,2,Pasado [v1],
Módulo Intervenciones/Registro de Intervención,150:Registro con campos obligatorios vacios,Pasado [v1],2023-12-12 19:54:06,,2,Pasado [v1],
