Suite de Pruebas,Caso de Prueba,Prioridad,Build Versión,Asignado a,Resultado,Fecha,Testeado por,Notas,Duración de la ejecución (min)
Módulo Usuario/Registro Usuario,CP-001: Registro Exitoso de Usuario,Alta,1.1.1,Equipo QA,Pasado,2023-11-23 22:42:30,Equipo QA,,3
Módulo Usuario/Registro Usuario,CP-008: Registro de usuario sin completar campo obligatorio Teléfono de Contacto,Alta,1.1.1,Equipo QA,Fallado,2023-11-24 15:01:19,Equipo QA,,2
Módulo Usuario/Registro Usuario,CP-034: Registro inválido de Usuario,Alta,1.1.1,Equipo QA,Fallado,2023-11-24 15:02:05,Equipo QA,,
Módulo Usuario/Listado Usuario,CP-036: Visualización del listado de usuarios por el administrador,Alta,1.1.1,Equipo QA,Fallado,2023-11-24 15:07:23,Equipo QA,,2
Módulo Usuario/Listado Usuario,CP-037: Visualización del listado de usuarios por el auxiliar administrativo,Alta,1.1.1,Equipo QA,Fallado,2023-11-24 15:08:11,Equipo QA,,2
Módulo Usuario/Listado Usuario,CP-038: Visualización del listado de usuarios por otros perfiles,Alta,1.1.1,Equipo QA,Fallado,2023-11-24 15:08:38,Equipo QA,,1
Módulo Usuario/Listado Usuario,CP-040: Filtrar listado,Media,1.1.1,Equipo QA,Pasado,2023-11-24 15:10:06,Equipo QA,,1
Módulo Usuario/Listado Usuario,CP-046: Filtro de listado incompatible,Baja,1.1.1,Equipo QA,Fallado,2023-11-24 15:10:35,Equipo QA,,1
Módulo Usuario/Listado Usuario,CP-049: Descargar listado/reporte de Usuarios,Baja,1.1.1,Equipo QA,Bloqueado,2023-11-24 15:11:06,Equipo QA,,1
Módulo Usuario/Modificar Usuario,CP-067: Modificación de Datos de Usuario por Administrador,Alta,1.1.1,Equipo QA,Pasado,2023-11-24 15:11:42,Equipo QA,,2
Módulo Usuario/Modificar Usuario,CP-068: Modificación de Datos de Usuario por Auxiliar Administrativo,Alta,1.1.1,Equipo QA,Pasado,2023-11-24 15:12:32,Equipo QA,,2
Módulo Usuario/Modificar Usuario,CP-069: Modificación de datos de Usuario por otro usuario,Alta,1.1.1,Equipo QA,Fallado,2023-11-24 15:13:01,Equipo QA,,1
Módulo Usuario/Modificar Usuario,CP-070: Acceso al Formulario de Modificación de Usuario,Alta,1.1.1,Equipo QA,Pasado,2023-11-24 15:13:44,Equipo QA,,2
Módulo Usuario/Modificar Usuario,CP-071: Modificación de datos de Usuario,Alta,1.1.1,Equipo QA,Fallado,2023-11-24 15:14:26,Equipo QA,,2
Módulo Usuario/Modificar Usuario,CP-074: Modificación de Contraseña por el Usuario Administrador,Alta,1.1.1,Equipo QA,Fallado,2023-11-24 15:15:56,Equipo QA,,2
Módulo Usuario/Modificar Usuario,CP-075: Modificación de Nombre de Usuario por el Usuario Administrador,Alta,1.1.1,Equipo QA,Fallado,2023-11-24 15:17:46,Equipo QA,,2
Módulo Usuario/Modificar Usuario,CP-076: Modificación de Contraseña por el Usuario Auxiliar Administrativo,Alta,1.1.1,Equipo QA,Fallado,2023-11-24 15:19:47,Equipo QA,,
Módulo Usuario/Modificar Usuario,CP-077: Modificación de Nombre de Usuario por el Usuario Auxiliar Administrativo,Alta,1.1.1,Equipo QA,Fallado,2023-11-24 15:22:24,Equipo QA,,2
Módulo Usuario/Modificar Usuario,CP-078: Solicitud de confirmación de la modificación de usuario,Alta,1.1.1,Equipo QA,Fallado,2023-11-24 15:23:17,Equipo QA,,2
Módulo Usuario/Modificar Usuario,CP-079: Cancelar modificación de usuario,Alta,1.1.1,Equipo QA,Fallado,2023-11-24 15:24:00,Equipo QA,,1
Módulo Usuario/Modificar Usuario,CP-136: Ingresos de datos inválidos para la modificación de datos de Usuario,Alta,1.1.1,Equipo QA,Fallado,2023-11-24 15:14:53,Equipo QA,,2
Módulo Usuario/Baja Usuario,CP-081: Eliminación (baja lógica) de Usuario por un Usuario Administrador,Alta,1.1.1,Equipo QA,Pasado,2023-11-24 15:30:29,Equipo QA,,1
Módulo Usuario/Baja Usuario,CP-082: Eliminación (baja lógica) de Usuario por un Usuario Auxiliar Administrativo,Alta,1.1.1,Equipo QA,Pasado,2023-11-24 15:33:22,Equipo QA,,1
