| Suite de Pruebas | Caso de Prueba | Prioridad | Build v2.1.0 | Equipo QA | Fecha | Notas | Duración de la ejecución (min) |
| Módulo Usuario/Registro Usuario | CP-1: Registro Exitoso de Usuario | Alta | Pasado | Equipo QA | 2023-11-27 15:27:18 | | |
| Módulo Usuario/Registro Usuario | CP-8: Registro de usuario sin completar campo obligatorio Teléfono de Contacto | Alta | Pasado | Equipo QA | 2023-11-27 15:32:18 | 2 | |
| Módulo Usuario/Registro Usuario | CP-34: Registro inválido de Usuario | Alta | Pasado | Equipo QA | 2023-11-27 15:32:41 | 2 | |
| Módulo Usuario/Listado Usuario | CP-36: Visualización del listado de usuarios por el administrador | Alta | Pasado | Equipo QA | 2023-11-27 15:39:57 | 1 | |
| Módulo Usuario/Listado Usuario | CP-37: Visualización del listado de usuarios por el auxiliar administrativo | Alta | Pasado | Equipo QA | 2023-11-27 15:40:17 | 1 | |
| Módulo Usuario/Listado Usuario | CP-38: Visualización del listado de usuarios por otros perfiles | Alta | Pasado | Equipo QA | 2023-11-27 15:40:39 | 1 | |
| Módulo Usuario/Listado Usuario | CP-40: Filtrar listado | Media | Pasado | Equipo QA | 2023-11-27 15:41:29 | 1 | |
| Módulo Usuario/Listado Usuario | CP-46: Filtro de listado incompatible | Baja | Pasado | Equipo QA | 2023-11-27 15:42:06 | 2 | |
| Módulo Usuario/Listado Usuario | CP-49: Descargar listado/reporte de Usuarios | Baja | Bloqueado | Equipo QA | 2023-11-27 15:44:36 | 1 | |
| Módulo Usuario/Modificar Usuario | CP-67: Modificación de Datos de Usuario por Administrador | Alta | Pasado | Equipo QA | 2023-11-27 15:45:26 | 1 | |
| Módulo Usuario/Modificar Usuario | CP-68: Modificación de Datos de Usuario por Auxiliar Administrativo | Alta | Pasado | Equipo QA | 2023-11-27 15:45:53 | 1 | |
| Módulo Usuario/Modificar Usuario | CP-69: Modificación de Datos de Usuario por otro usuario | Alta | Pasado | Equipo QA | 2023-11-27 17:52:57 | 1 | |
| Módulo Usuario/Modificar Usuario | CP-70: Acceso al Formulario de Modificación de Usuario | Alta | Pasado | Equipo QA | 2023-11-27 17:53:27 | 1 | |
| Módulo Usuario/Modificar Usuario | CP-71: Modificación de datos de Usuario | Alta | Pasado | Equipo QA | 2023-11-27 17:53:58 | 1 | |
| Módulo Usuario/Modificar Usuario | CP-74: Modificación de Contraseña por el Usuario Administrador | Alta | Fallado | Equipo QA | 2023-11-27 17:55:21 | 2 | |
| Módulo Usuario/Modificar Usuario | CP-75: Modificación de Nombre de Usuario por el Usuario Administrador | Alta | Pasado | Equipo QA | 2023-11-27 17:55:58 | 1 | |
| Módulo Usuario/Modificar Usuario | CP-76: Modificación de Contraseña por el Usuario Auxiliar Administrativo | Alta | Fallado | Equipo QA | 2023-11-27 17:57:56 | 1 | |
| Módulo Usuario/Modificar Usuario | CP-77: Modificación de Nombre de Usuario por el Usuario Auxiliar Administrativo | Alta | Pasado | Equipo QA | 2023-11-27 17:58:10 | 1 | |
| Módulo Usuario/Modificar Usuario | CP-78: Solicitud de confirmación de la modificación de usuario | Alta | Pasado | Equipo QA | 2023-11-27 18:07:47 | 1 | |
| Módulo Usuario/Modificar Usuario | CP-79: Cancelar modificación de usuario | Alta | Pasado | Equipo QA | 2023-11-27 18:08:13 | 1 | |
| Módulo Usuario/Modificar Usuario | CP-136: Ingresos de datos inválidos para la modificación de datos de Usuario | Alta | Pasado | Equipo QA | 2023-11-27 17:54:27 | 1 | |
| Módulo Usuario/Baja Usuario | CP-81: Eliminación (baja lógica) de Usuario por un Usuario Administrador | Alta | Pasado | Equipo QA | 2023-11-27 18:12:26 | 1 | |
| Módulo Usuario/Baja Usuario | CP-82: Eliminación (baja lógica) de Usuario por un Usuario Auxiliar Administrativo | Alta | Pasado | Equipo QA | 2023-11-27 18:18:13 | 1 | |
| Módulo Usuario/Baja Usuario | CP-83: Eliminación (baja lógica) de Usuario por un usuario no Administrativo | Alta | Pasado | Equipo QA | 2023-11-27 18:13:09 | 1 | |
| Módulo Usuario/Baja Usuario | CP-84: Solicitud de confirmación de eliminación de usuario | Alta | Pasado | Equipo QA | 2023-11-27 18:17:13 | | |
| Módulo Usuario/Baja Usuario | CP-85: Actualización del Estado de Usuario a Eliminado | Media | Pasado | Equipo QA | 2023-11-27 18:17:51 | 1 | |
| Módulo Usuario/Baja Usuario | CP-86: Cancelar eliminación de usuario | Alta | Pasado | Equipo QA | 2023-11-27 18:18:34 | 1 | |
