Suite de Pruebas,Caso de Prueba,Prioridad,Build Versión,Asignado a,Resultado,Fecha,Testeado por,Notas,Duración de la ejecución (min)
Mantenimiento Hospitalario/Módulo Usuario/Registro Usuario,1: Registro Exitoso de Usuario,Alta,1.1.1,,Pasado,2023-11-23 22:42:30,,,3
Mantenimiento Hospitalario/Módulo Usuario/Registro Usuario,"8: Registro de usuario sin completar campo obligatorio ""Teléfono de Contacto""",Alta,1.1.1,,Fallado,2023-11-24 15:01:19,,,2
Mantenimiento Hospitalario/Módulo Usuario/Registro Usuario,34: Registro inválido de Usuario,Alta,1.1.1,,Fallado,2023-11-24 15:02:05,,,
Mantenimiento Hospitalario/Módulo Usuario/Listado Usuario,36: Visualización del listado de usuarios por el administrador,Alta,1.1.1,,Fallado,2023-11-24 15:07:23,,,2
Mantenimiento Hospitalario/Módulo Usuario/Listado Usuario,37: Visualización del listado de usuarios por el auxiliar administrativo,Alta,1.1.1,,Fallado,2023-11-24 15:08:11,,,2
Mantenimiento Hospitalario/Módulo Usuario/Listado Usuario,38: Visualización del listado de usuarios por otros perfiles,Alta,1.1.1,,Fallado,2023-11-24 15:08:38,,,1
Mantenimiento Hospitalario/Módulo Usuario/Listado Usuario,40: Filtrar listado,Media,1.1.1,,Pasado,2023-11-24 15:10:06,,,1
Mantenimiento Hospitalario/Módulo Usuario/Listado Usuario,46: Filtro de listado incompatible,Baja,1.1.1,,Fallado,2023-11-24 15:10:35,,,1
Mantenimiento Hospitalario/Módulo Usuario/Listado Usuario,49: Descargar listado/reporte de Usuarios,Baja,1.1.1,,Bloqueado,2023-11-24 15:11:06,,,1
Mantenimiento Hospitalario/Módulo Usuario/Modificar Usuario,67: Modificación de Datos de Usuario por Administrador,Alta,1.1.1,,Pasado,2023-11-24 15:11:42,,,2
Mantenimiento Hospitalario/Módulo Usuario/Modificar Usuario,68: Modificación de Datos de Usuario por Auxiliar Administrativo,Alta,1.1.1,,Pasado,2023-11-24 15:12:32,,,2
Mantenimiento Hospitalario/Módulo Usuario/Modificar Usuario,69: Modificación de datos de Usuario por otro usuario,Alta,1.1.1,,Fallado,2023-11-24 15:13:01,,,1
Mantenimiento Hospitalario/Módulo Usuario/Modificar Usuario,70: Acceso al Formulario de Modificación de Usuario,Alta,1.1.1,,Pasado,2023-11-24 15:13:44,,,2
Mantenimiento Hospitalario/Módulo Usuario/Modificar Usuario,71: Modificación de datos de Usuario,Alta,1.1.1,,Fallado,2023-11-24 15:14:26,,,2
Mantenimiento Hospitalario/Módulo Usuario/Modificar Usuario,74: Modificación de Contraseña por el Usuario Administrador,Alta,1.1.1,,Fallado,2023-11-24 15:15:56,,,2
Mantenimiento Hospitalario/Módulo Usuario/Modificar Usuario,75: Modificación de Nombre de Usuario por el Usuario Administrador,Alta,1.1.1,,Fallado,2023-11-24 15:17:46,,,2
Mantenimiento Hospitalario/Módulo Usuario/Modificar Usuario,76: Modificación de Contraseña por el Usuario Auxiliar Administrativo,Alta,1.1.1,,Fallado,2023-11-24 15:19:47,,,
Mantenimiento Hospitalario/Módulo Usuario/Modificar Usuario,77: Modificación de Nombre de Usuario por el Usuario Auxiliar Administrativo,Alta,1.1.1,,Fallado,2023-11-24 15:22:24,,,2
Mantenimiento Hospitalario/Módulo Usuario/Modificar Usuario,78: Solicitud de confirmación de la modificación de usuario,Alta,1.1.1,,Fallado,2023-11-24 15:23:17,,,2
Mantenimiento Hospitalario/Módulo Usuario/Modificar Usuario,79: Cancelar modificación de usuario,Alta,1.1.1,,Fallado,2023-11-24 15:24:00,,,1
Mantenimiento Hospitalario/Módulo Usuario/Modificar Usuario,136: Ingresos de datos inválidos para la modificación de datos de Usuario,Alta,1.1.1,,Fallado,2023-11-24 15:14:53,,,2
Mantenimiento Hospitalario/Módulo Usuario/Baja Usuario,81: Eliminación(baja lógica) de Usuario por un Usuario Administrador,Alta,1.1.1,,Pasado,2023-11-24 15:30:29,,,1
Mantenimiento Hospitalario/Módulo Usuario/Baja Usuario,82: Eliminación(baja lógica) de Usuario por un Usuario Auxiliar Administrativo,Alta,1.1.1,,Pasado,2023-11-24 15:33:22,,,1
Mantenimiento Hospitalario/Módulo Usuario/Baja Usuario,83: Eliminación(baja lógica) de Usuario por un usuario no Administrativo,Alta,1.1.1,,Fallado,2023-11-24 15:31:14,,,1
Mantenimiento Hospitalario/Módulo Usuario/Baja Usuario,84: Solicitud de confirmación de eliminación de usuario,Alta,1.1.1,,Pasado,2023-11-24 15:31:42,,,1
Mantenimiento Hospitalario/Módulo Usuario/Baja Usuario,"85: Actualización del Estado de Usuario a ""Eliminado""",Media,1.1.1,,Pasado,2023-11-24 15:32:51,,,1
Mantenimiento Hospitalario/Módulo Usuario/Baja Usuario,86: Cancelar eliminación de usuario,Alta,1.1.1,,Pasado,2023-11-24 15:34:27,,,1
Mantenimiento Hospitalario/Módulo Usuario/Baja Usuario,87: Restricción de Acceso para Usuarios Eliminados,Alta,1.1.1,,Fallado,2023-11-24 15:35:08,,,1
Mantenimiento Hospitalario/Módulo Usuario/Baja Usuario,88: Re-Activación de usuario por un Administrador,Alta,1.1.1,,Pasado,2023-11-24 15:35:26,,,1
Mantenimiento Hospitalario/Módulo Usuario/Baja Usuario,89: Re-Activación de usuario por un Auxiliar Administrativo,Alta,1.1.1,,Pasado,2023-11-24 15:35:44,,,1
Mantenimiento Hospitalario/Módulo Usuario/Modificar datos propios de Usuario,90: Modificación de Datos propios por Usuario Auxiliar Administrativo,Alta,1.1.1,,Pasado,2023-11-24 15:24:32,,,2
