Id.,Proyecto,Informador,Asignada a,Prioridad,Gravedad,Reproducibilidad,Versión del producto,Categoría,Fecha de envío,SO,Versión de SO,Plataforma,Visibilidad,Actualizada,Resumen,Estado,Resolución,Resuelta en versión
0031982,veterinaria,Equipo QA,Equipo QA,alta,mayor,siempre,,General,2023-09-15,,,,privado,2023-09-22,VET - En el módulo Veterinario, se permite ingresar un veterinario con CI en formato no válido,asignada,abierta,
0031966,veterinaria,Equipo QA,Equipo QA,alta,mayor,siempre,,General,2023-09-15,,,,privado,2023-09-22,VET - En el módulo Veterinario, se permite ingresar un veterinario con nombre en formato no válido,asignada,abierta,
0031843,veterinaria,Equipo QA,Equipo QA,alta,mayor,siempre,,General,2023-09-15,,,,privado,2023-09-22,VET - Se permite ingresar mascota con una edad no válida en el módulo de registro de Mascota,asignada,abierta,
0034989,veterinaria,Equipo QA,Equipo QA,alta,mayor,siempre,,General,2023-09-22,,,,privado,2023-09-22,VET - Se permite ingresar veterinario con un código no válido en el módulo de registro de Veterinario,asignada,abierta,
0031877,veterinaria,Equipo QA,Equipo QA,alta,mayor,siempre,,General,2023-09-15,,,,privado,2023-09-22,VET - Cancelar alta de veterinario cierra toda la ventana ""alta veterinario"" en el módulo de registro de veterinario,asignada,abierta,
0031839,veterinaria,Equipo QA,Equipo QA,alta,mayor,siempre,,General,2023-09-15,,,,privado,2023-09-22,VET - En modulo Mascota, al cancelar el alta de una mascota, la ventana ""Nueva Mascota"" se cierra sin mostrar una confirmación,asignada,abierta,
0034978,veterinaria,Equipo QA,Equipo QA,alta,mayor,siempre,,General,2023-09-22,,,,privado,2023-09-22,VET - Se permite ingresar mascota con un nombre no válido en el módulo de registro de Mascota,asignada,abierta,
0031763,veterinaria,Equipo QA,Equipo QA,alta,mayor,siempre,,General,2023-09-15,,,,privado,2023-09-22,VET - En el módulo Mascota, se permite ingresar una mascota con Nro de Patente no válidos,asignada,abierta,
0034970,veterinaria,Equipo QA,Equipo QA,alta,mayor,siempre,,General,2023-09-22,,,,privado,2023-09-22,VET - En el módulo Veterinario, al dar de alta a un veterinario, se recibe un mensaje incorrecto,asignada,abierta,
0034967,veterinaria,Equipo QA,Equipo QA,alta,mayor,siempre,,General,2023-09-22,,,,privado,2023-09-22,VET - No se confirma la cancelación del alta de una consulta en el modelo de registro de consulta,asignada,abierta,
0034962,veterinaria,Equipo QA,Equipo QA,alta,mayor,siempre,,General,2023-09-22,,,,privado,2023-09-22,VET - El registro de consulta no reconoce Nro de Patentes inexistente en el módulo de registro de consultas,asignada,abierta,
0034955,veterinaria,Equipo QA,Equipo QA,baja,menor,siempre,,General,2023-09-22,,,,privado,2023-09-22,VET - Error ortográfico en el modulo de registro de Cliente.,asignada,abierta,
0034938,veterinaria,Equipo QA,Equipo QA,baja,menor,siempre,,General,2023-09-22,,,,privado,2023-09-22,VET - Error ortográfico en el modulo de registro de Consulta.,asignada,abierta,
0031624,veterinaria,Equipo QA,Equipo QA,alta,mayor,siempre,,General,2023-09-15,,,,privado,2023-09-22,VET - Se permite ingresar clientes con Cedula no valida en el modulo de registro de clientes,asignada,abierta,
0031291,veterinaria,Equipo QA,Equipo QA,alta,mayor,siempre,,General,2023-09-14,,,,público,2023-09-22,VET - Se permite ingresar un clientes con apellidos no validos en el modulo de registro de clientes,asignada,abierta,
0031288,veterinaria,Equipo QA,Equipo QA,normal,mayor,siempre,,General,2023-09-14,,,,público,2023-09-22,VET - Se puede ingresar un cliente con Nombre no valido en el modulo de registro de clientes,asignada,abierta,
0032002,veterinaria,Equipo QA,Equipo QA,urgente,bloqueo,a veces,,General,2023-09-15,,,,privado,2023-09-22,VET - Fallo en la visualización de la ventana ""Alta consulta"",cerrada,abierta,
0031993,veterinaria,Equipo QA,Equipo QA,urgente,bloqueo,a veces,,General,2023-09-15,,,,privado,2023-09-22,VET - Fallo en el listado de consultas,cerrada,abierta,
0031285,veterinaria,Equipo QA,Equipo QA,alta,mayor,siempre,,General,2023-09-14,,,,público,2023-09-22,VET - Cancelar alta de cliente en el modulo de registro de clientes.,cerrada,reabierta,
0034935,veterinaria,Equipo QA,Equipo QA,baja,menor,siempre,,General,2023-09-22,,,,privado,2023-09-22,VET - Error ortográfico en el modulo de registro de Mascota.,asignada,abierta,
0034924,veterinaria,Equipo QA,Equipo QA,baja,menor,no se ha intentado,,General,2023-09-22,,,,privado,2023-09-22,VET - Error ortográfico en el modulo de registro de Veterinario.,asignada,abierta,
0034877,veterinaria,Equipo QA,Equipo QA,normal,menor,siempre,,General,2023-09-22,,,,privado,2023-09-22,VET - El boton ""Filtrar"" solo es funcional cuando se ingresa una fecha en el modelo Lista de Consulta,asignada,abierta,
